course_slug,policy_type,policy_summary,source_text,days_before_open,open_weekday,open_time,monthly_open_day,monthly_offset_months,rule_interpretation,manual_open_datetime,is_active,note
seowon-hills,days_before,해당일 기준 3주 전 10:00 오픈,"주중 타임오픈: 해당일 기준 3주 전 10:00",21,,10:00,,,days_before,,true,legacy 이용안내 기준(주중 명시)
hanlim-yongin,days_before,공식 사이트 캘린더 확인(오픈 수치 미확정),공식 메인에서 잔여팀 캘린더/그린피 공지 확인. 예약 오픈 간격·시간 문구는 미노출,,,,,,,,true,수치 확정하려면 로그인/예약규정 페이지 접근 필요
pinevalley,days_before,운영사 사이트 기준 규칙 확인 필요,동양레저 운영 코스 정보 확인됨. 정확 오픈 규칙 추가 필요,,,,,,,,true,공식 예약/공지 페이지 추가 수집
golfzon-county-cheonan,days_before,공식 예약 페이지 확인(오픈 수치 미확정),공식 예약 화면에서 코스/날짜 선택은 확인되나 오픈 간격·시간 문구는 미노출,,,,,,,,true,수치 확정하려면 지점별 예약정책/로그인 화면 추가 확인 필요
castlex-jeju,days_before,공식 사이트 확인(오픈 수치 미확정),공식 사이트에서 연락처/사업장 정보 확인. 예약 오픈 규칙 문구는 미노출,,,,,,,,true,수치 확정은 예약안내/공지 상세 접근 필요
namseoul-cc,days_before,공식 사이트 확인(오픈 수치 미확정),"실시간예약 제공 확인, 예약 오픈 간격/시간 문구 추가 필요",,,,,,,,true,회원제 특성상 공개 문구 제한 가능
lakewood,days_before,일반회원 기준 해당일 20일 전 10:00 오픈,"일반회원: 20일전 10:00 예약(Privilege 25일전 10:00 별도)",20,,10:00,,,days_before,,true,예약안내 페이지 기준(일반회원 기준값 반영)
blueone-yongin,days_before,예약안내 페이지 확인(오픈 수치 미확정),"공식 예약안내 페이지 존재 확인, 회원제/퍼블릭 규칙 분리 확인 필요",,,,,,,,true,오픈일시 문구 확보 전 수치 미반영
oak-valley,days_before,예약안내 페이지/예약시스템 확인(수치 미확정),"예약안내 페이지 및 별도 예약시스템 존재 확인, 오픈 규칙 문구 수집 필요",,,,,,,,true,코스별(오크밸리/오크힐스/성문안) 분리 수집 필요
belles-forest,days_before,공식 사이트 기반 규칙 확인 필요,벨라스톤 예약 화면 확인. 세부 오픈 규칙 추가 필요,,,,,,,,true,문구 캡처 후 확정
ansung-benest,days_before,통합예약 사이트 확인(오픈 수치 미확정),"안성베네스트 포함 통합예약 사이트 확인, 공식 오픈 간격/시간 문구 확보 필요",,,,,,,,true,서드파티 수치 존재하나 공식 근거 확보 전 미반영
south-springs,days_before,라운드일 기준 4주 전 월요일 09:00 오픈(추가 검증 필요),"실시간예약은 라운드일 기준 4주전 월요일 9시부터 가능 문구 확인",28,1,09:00,,,weekday_rule,,true,모바일 예약 페이지 스니펫 기반(추가 검증 필요)
sky72-ocean,days_before,클럽72 예약 오픈일 변경 공지 확인(수치 미확정),"클럽72 공지에 레이크/클래식코스 예약 오픈일자 변경안내 확인",,,,,,,,true,오션코스 개별 오픈 규칙 수치 확보 필요
solmoro,days_before,예약 신청 관련 기준 확인(오픈 수치 미확정),"희망 예약일의 예약 접수일 10일 이전 회원관리과 신청 문구 확인",,,,,,,,true,접수 규칙과 실시간 오픈 규칙 구분 필요
gold-cc,days_before,운영사 사이트 확인(오픈 수치 미확정),"골드CC 예약실/연락처 확인, 공식 예약 오픈 규칙 문구 확보 필요",,,,,,,,true,서드파티 수치 존재하나 공식 근거 확보 전 미반영
jade-palace,days_before,예약/요금안내 페이지 확인(수치 미확정),"공식 안내 페이지 접근 확인, 예약 오픈 규칙(접수일/시간) 문구 추가 수집 필요",,,,,,,,true,비공식 블로그 수치 존재하나 공식 근거 확보 전 미반영
lotte-skyhill-jeju,days_before,예약 오픈일 변경 공지 존재(세부 수치 미확정),"제주CC 예약 오픈일 기준 변경 안내 공지 존재 확인, 상세 오픈 간격/시간 추가 필요",,,,,,,,true,공식 공지 상세 열람 후 수치 확정 필요
haesley-nine-bridges,days_before,공식 사이트 기준 규칙 확인 필요,나인브릿지 공식 사이트 확인. 회원제 규칙 상세 필요,,,,,,,,true,프라이빗 정책 반영 필요
clubd-geumgang,days_before,예약 오픈 규칙 미확정(취소 기준만 확인),"취소규정: 주중 3일전/휴일 4일전 이후 취소는 이용약관에 따라 전화문의",,,,,,,,true,오픈일시 미표기로 days_before 추정 불가
blackstone-icheon,days_before,공식 사이트 예약일정표 존재(오픈 수치 미확정),"상반기 주말·공휴일 예약일정표 업로드 공지 확인",,,,,,,,true,일정표 본문 접근 후 수치 확정 필요
